split,city,image_path,nearest_audit_cosine,above_audit_p90
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_20131.jpg,0.50138795,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_20965.jpg,0.4542774,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_23961.jpg,0.45645988,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_24140.jpg,0.54176843,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_28238.jpg,0.38791645,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_28251.jpg,0.36548805,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_4158.jpg,0.6671409,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_7116.jpg,0.55020034,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_7269.jpg,0.5147826,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_8026.jpg,0.4933337,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_8349.jpg,0.5629226,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_14625.jpg,0.46106696,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_15074.jpg,0.4615348,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_15080.jpg,0.44532,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_17180.jpg,0.4794076,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_19552.jpg,0.428989,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_23964.jpg,0.4660198,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_28242.jpg,0.47990578,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_28249.jpg,0.41855168,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3660.jpg,0.64272934,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3661.jpg,0.6364928,True
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_3665.jpg,0.54041505,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_4248.jpg,0.57994795,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_7270.jpg,0.42674053,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_15516.jpg,0.44344276,False
external,pittsburgh,data/generalization/images/pittsburgh/pittsburgh_22342.jpg,0.42558122,False
external,zurich,data/generalization/images/zurich/zurich_2183.jpg,0.8372637,True
external,zurich,data/generalization/images/zurich/zurich_2212.jpg,0.8467319,True
external,zurich,data/generalization/images/zurich/zurich_2791.jpg,0.81517583,True
external,zurich,data/generalization/images/zurich/zurich_2792.jpg,0.73056084,True
external,zurich,data/generalization/images/zurich/zurich_3168.jpg,0.8071672,True
external,zurich,data/generalization/images/zurich/zurich_4407.jpg,0.80366766,True
external,zurich,data/generalization/images/zurich/zurich_4408.jpg,0.80366766,True
external,zurich,data/generalization/images/zurich/zurich_4414.jpg,0.793918,True
external,zurich,data/generalization/images/zurich/zurich_4427.jpg,0.80050147,True
external,zurich,data/generalization/images/zurich/zurich_4428.jpg,0.7832605,True
external,zurich,data/generalization/images/zurich/zurich_5267.jpg,0.83537865,True
external,zurich,data/generalization/images/zurich/zurich_5270.jpg,0.91158384,True
external,zurich,data/generalization/images/zurich/zurich_5309.jpg,0.73535365,True
external,zurich,data/generalization/images/zurich/zurich_6518.jpg,0.8025533,True
external,zurich,data/generalization/images/zurich/zurich_6528.jpg,0.80640614,True
external,zurich,data/generalization/images/zurich/zurich_25.jpg,0.6982825,True
external,zurich,data/generalization/images/zurich/zurich_32.jpg,0.87698805,True
external,zurich,data/generalization/images/zurich/zurich_51.jpg,0.8066939,True
external,zurich,data/generalization/images/zurich/zurich_62.jpg,0.7933465,True
external,zurich,data/generalization/images/zurich/zurich_430.jpg,0.8777644,True
external,zurich,data/generalization/images/zurich/zurich_761.jpg,0.8616177,True
external,zurich,data/generalization/images/zurich/zurich_1101.jpg,0.819487,True
external,zurich,data/generalization/images/zurich/zurich_1140.jpg,0.8415983,True
external,zurich,data/generalization/images/zurich/zurich_1285.jpg,0.8629127,True
external,zurich,data/generalization/images/zurich/zurich_1315.jpg,0.84998614,True
external,zurich,data/generalization/images/zurich/zurich_1468.jpg,0.7930999,True
external,zurich,data/generalization/images/zurich/zurich_1504.jpg,0.86002433,True
external,zurich,data/generalization/images/zurich/zurich_2181.jpg,0.82266384,True
external,zurich,data/generalization/images/zurich/zurich_2202.jpg,0.8596633,True
external,zurich,data/generalization/images/zurich/zurich_2213.jpg,0.8467319,True
external,zurich,data/generalization/images/zurich/zurich_2223.jpg,0.7376999,True
external,zurich,data/generalization/images/zurich/zurich_2303.jpg,0.76030886,True
external,zurich,data/generalization/images/zurich/zurich_2477.jpg,0.7532401,True
external,zurich,data/generalization/images/zurich/zurich_2796.jpg,0.81169856,True
external,zurich,data/generalization/images/zurich/zurich_2872.jpg,0.90685314,True
external,zurich,data/generalization/images/zurich/zurich_3183.jpg,0.87732106,True
external,zurich,data/generalization/images/zurich/zurich_3193.jpg,0.7928592,True
external,zurich,data/generalization/images/zurich/zurich_3194.jpg,0.7928592,True
external,zurich,data/generalization/images/zurich/zurich_3206.jpg,0.8542032,True
external,zurich,data/generalization/images/zurich/zurich_3260.jpg,0.7056363,True
external,zurich,data/generalization/images/zurich/zurich_3541.jpg,0.8987758,True
external,zurich,data/generalization/images/zurich/zurich_3542.jpg,0.9393133,True
external,zurich,data/generalization/images/zurich/zurich_3570.jpg,0.73583305,True
external,zurich,data/generalization/images/zurich/zurich_3575.jpg,0.8381337,True
external,zurich,data/generalization/images/zurich/zurich_3610.jpg,0.7798097,True
external,zurich,data/generalization/images/zurich/zurich_4130.jpg,0.8267304,True
external,zurich,data/generalization/images/zurich/zurich_4240.jpg,0.85913205,True
external,zurich,data/generalization/images/zurich/zurich_4431.jpg,0.8045694,True
external,zurich,data/generalization/images/zurich/zurich_82.jpg,0.7778299,True
external,zurich,data/generalization/images/zurich/zurich_84.jpg,0.6855545,True
external,zurich,data/generalization/images/zurich/zurich_1505.jpg,0.8589519,True
external,zurich,data/generalization/images/zurich/zurich_5873.jpg,0.78478944,True
external,zurich,data/generalization/images/zurich/zurich_6371.jpg,0.68653774,True
external,zurich,data/generalization/images/zurich/zurich_6710.jpg,0.6958884,True
external,zurich,data/generalization/images/zurich/zurich_8464.jpg,0.5670252,False
external,zurich,data/generalization/images/zurich/zurich_1172.jpg,0.7161532,True
external,zurich,data/generalization/images/zurich/zurich_2384.jpg,0.70892787,True
external,zurich,data/generalization/images/zurich/zurich_2449.jpg,0.83443016,True
external,zurich,data/generalization/images/zurich/zurich_2485.jpg,0.7234285,True
external,zurich,data/generalization/images/zurich/zurich_2486.jpg,0.7585236,True
external,zurich,data/generalization/images/zurich/zurich_2572.jpg,0.66760767,True
external,zurich,data/generalization/images/zurich/zurich_2712.jpg,0.8651613,True
external,zurich,data/generalization/images/zurich/zurich_2786.jpg,0.7649921,True
external,zurich,data/generalization/images/zurich/zurich_3714.jpg,0.8970936,True
external,zurich,data/generalization/images/zurich/zurich_6960.jpg,0.8234675,True
external,zurich,data/generalization/images/zurich/zurich_6961.jpg,0.7243259,True
external,zurich,data/generalization/images/zurich/zurich_7470.jpg,0.6958884,True
external,zurich,data/generalization/images/zurich/zurich_7907.jpg,0.8605562,True
external,zurich,data/generalization/images/zurich/zurich_10591.jpg,0.83422387,True
external,zurich,data/generalization/images/zurich/zurich_83.jpg,0.67749757,True
external,zurich,data/generalization/images/zurich/zurich_2317.jpg,0.8565999,True
